ItemCode,ItemName,Brand,Grade,Thickness,Width,Length,BatchNum,CoilNo,Quantity,WhsCode,Bin,GRPONo,GRPODate
COIL94458,NMDC HR COIL 2MMX1250,NMDC,,2,1250,,B34592,1419610,124.502,38,A1-02,4140,2026-07-26
COIL94458,NMDC HR COIL 2MMX1250,NMDC,,2,1250,,B38289,2719583,124.502,38,C1-07,4279,2026-08-15
COIL94458,NMDC HR COIL 2MMX1250,NMDC,,2,1250,,B75302,1533224,124.503,38,A1-02,4015,2026-08-15
COIL87243,NMDC HR COIL 3MMX1250 E250,NMDC,E250,3,1250,,B86237,1445199,209.69,38,C2-03,4287,2026-08-01
COIL31847,SAIL HR COIL 20MMX1500,SAIL,,20,1500,,B91426,8038374,41.753,38,C1-07,4112,2026-06-30
COIL31847,SAIL HR COIL 20MMX1500,SAIL,,20,1500,,B56463,1109031,41.753,38,B2-05,4081,2026-07-03
COIL31847,SAIL HR COIL 20MMX1500,SAIL,,20,1500,,B56421,3608513,41.754,38,A1-01,4110,2026-07-14
COIL94415,NMDC HR COIL 16MMX1500,NMDC,,16,1500,,B69797,2622631,105.2,38,C1-07,4183,2026-07-13
COIL54397,NMDC HR COIL 8MMX1250,NMDC,,8,1250,,B25695,8707870,52.195,38,B3-11,4274,2026-08-11
COIL54397,NMDC HR COIL 8MMX1250,NMDC,,8,1250,,B30328,5918715,52.195,38,A1-02,4185,2026-06-14
COIL97594,NMDC HR COIL 10MMX1250/E350,NMDC,E350,10,1250,,B29116,1768805,34.7,38,A1-01,4116,2026-07-20
COIL97594,NMDC HR COIL 10MMX1250/E350,NMDC,E350,10,1250,,B50512,2694522,34.7,38,B3-11,4194,2026-07-22
COIL97594,NMDC HR COIL 10MMX1250/E350,NMDC,E350,10,1250,,B67819,3728882,34.7,38,A1-02,4189,2026-07-12
COIL92350,NMDC HR COIL 4.8MMX1500/HSFQ450,NMDC,HSFQ450,4.8,1500,,B54993,2197935,34.582,38,C2-03,4087,2026-06-19
COIL92350,NMDC HR COIL 4.8MMX1500/HSFQ450,NMDC,HSFQ450,4.8,1500,,B52087,3741438,34.582,38,B2-05,4236,2026-07-09
COIL92350,NMDC HR COIL 4.8MMX1500/HSFQ450,NMDC,HSFQ450,4.8,1500,,B93000,4684531,34.581,38,A1-02,4166,2026-08-19
COIL88252,NMDC HR COIL 8MMX1250/E350,NMDC,E350,8,1250,,B61347,7730428,101.61,38,A1-02,4137,2026-08-18
COIL63699,NMDC HR COIL 10MMX1250,NMDC,,10,1250,,B61245,4567281,31.397,38,C2-03,4255,2026-07-07
