Category,ItemGroup,ItemCode,ItemName,CardName,Yr,Mth,Qty,Value,Docs
5. OTHERS,AMNS HR COIL,,AMNS HR COIL (group total — sample data),,2026,5,36.600000,2250900.000000,2
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,4,17.380000,978848.010000,2
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,5,101.460000,5585376.460000,3
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,6,289.755000,15959309.360000,8
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,7,566.576000,31565724.840000,20
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,8,1632.150000,91749498.750000,40
1. SAIL HR,HR Coil,,HR Coil (group total — sample data),,2026,9,5.100000,323850.000000,1
5. OTHERS,JSW H.R.COIL,,JSW H.R.COIL (group total — sample data),,2026,4,62.025000,3739544.750000,2
5. OTHERS,JSW H.R.COIL,,JSW H.R.COIL (group total — sample data),,2026,5,38.180000,2346161.000000,2
5. OTHERS,JSW H.R.COIL,,JSW H.R.COIL (group total — sample data),,2026,6,25.380000,1644624.000000,1
5. OTHERS,JSW H.R.COIL,,JSW H.R.COIL (group total — sample data),,2026,7,309.405000,18524603.250000,7
5. OTHERS,JSW H.R.COIL,,JSW H.R.COIL (group total — sample data),,2026,8,220.670000,13225490.250000,6
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,4,297.790000,16889114.250000,27
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,5,426.486200,27094390.200000,37
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,6,594.950100,32495829.250000,42
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,7,724.388000,35480832.000000,41
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,8,855.756000,45397988.750000,49
5. OTHERS,OTHERS,,OTHERS (group total — sample data),,2026,9,153.810000,9462398.000000,14
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,4,158.980000,9130870.000000,5
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,5,476.470000,27238756.000000,15
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,6,641.780000,37317259.700000,22
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,7,235.110000,13419515.000000,8
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,8,345.510000,20098320.000000,12
4. RINL STRL,RINL STRL,,RINL STRL (group total — sample data),,2026,9,317.900000,18823930.000000,10
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,4,1401.360000,83753811.610000,26
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,5,444.620000,26817497.260000,9
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,6,764.820000,43756186.700000,14
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,8,156.640000,8450480.000000,5
3. RINL TMT,RINL TMT,,RINL TMT (group total — sample data),,2026,9,83.220000,4640279.000000,2
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,4,2027.920000,109664207.500000,52
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,5,1928.490000,107149394.250000,47
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,6,3374.415000,187873874.220000,81
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,7,6087.510000,339276257.800000,172
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,8,5102.360000,285597106.340000,153
1. SAIL HR,SAIL H.R.PLATE,,SAIL H.R.PLATE (group total — sample data),,2026,9,945.340000,54646322.810000,22
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,4,1463.250000,84159624.720000,23
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,5,546.470000,33427100.000000,9
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,6,138.590000,8405526.500000,5
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,7,257.680000,15388876.500000,8
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,8,818.120000,49059577.000000,14
1. SAIL HR,SAIL HR COIL,,SAIL HR COIL (group total — sample data),,2026,9,278.250000,16443725.500000,5
5. OTHERS,SAIL HR SHEET,,SAIL HR SHEET (group total — sample data),,2026,5,20.245000,1114489.040000,1
2. SAIL STRUCTURALS,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,4,1851.860000,101671726.180000,31
2. SAIL STRUCTURALS,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,5,829.150000,45250166.640000,14
2. SAIL STRUCTURALS,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,6,1500.230000,86546256.240000,30
2. SAIL STRUCTURALS,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,7,2209.080000,123006337.900000,43
2. SAIL STRUCTURALS,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,8,2020.475000,114340333.320000,40
2. SAIL STRUCTURALS,SAIL STRUCTURAL,,SAIL STRUCTURAL (group total — sample data),,2026,9,353.020000,19971457.420000,7
