ItemCode,ItemName,ItemGroup,Category,WhsCode,WhsName,OnHand,Committed,OnOrder,Grade,Thickness,Width,Length
NMDC000000000029,NMDC HR COIL 2MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,228.860000,37.000000,96.450000,,,,
NMDC000000000025,NMDC HR COIL 3MMX1250 E250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,209.770000,28.000000,25.000000,,,,
NMDC000000000027,NMDC HR COIL 10MMX1500,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,181.498000,0.000000,0.000000,,,,
NMDC000000000022,NMDC HR COIL 12MMX1500/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,179.862000,3.000000,0.000000,,,,
NMDC000000000021,NMDC HR COIL 8MMX1500/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,157.523000,0.000000,42.850000,,,,
NMDC000000000012,NMDC HR COIL 8MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,146.490000,0.000000,0.001000,,,,
NMDC000000000013,NMDC HR COIL 6MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,126.050000,0.000000,0.000000,,,,
NMDC000000000018,NMDC HR COIL 10MMX1500/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,125.510000,3.000000,80.000000,,,,
NMDC000000000009,NMDC HR COIL 10MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,125.320000,0.000000,42.221000,,,,
HR000000000549,SAIL HR COIL 20MMX1500,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,125.260000,0.000000,1.001000,,,,
NMDC000000000006,NMDC HR COIL 8MMX1500,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,104.350000,3.000000,0.000000,,,,
NMDC000000000010,NMDC HR COIL 10MMX1250/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,104.100000,0.000000,20.880000,,,,
NMDC000000000064,NMDC HR COIL 8MMX1250/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,96.623000,0.000000,0.010000,,,,
HR000000000267,SAIL HR COIL 12MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,96.300000,0.000000,0.000000,,,,
HR000000000266,SAIL HR COIL 10MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,96.080000,0.000000,0.000000,,,,
NMDC000000000060,NMDC HR COIL 6MMX1500/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,90.442000,0.000000,1.000000,,,,
HR000000000551,SAIL HR COIL 20MMX1250,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,84.880000,0.000000,63.650000,,,,
NMDC000000000059,NMDC HR COIL 6MMX1250/E350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,84.810000,0.000000,0.000000,,,,
HR000000000315,SAIL HR COIL 6MMX2000/E350BR,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,81.207000,0.000000,0.000000,,,,
NMDC000000000062,NMDC HR COIL 5MMX1500XE350,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,79.829000,0.000000,40.090000,,,,
NMDC000000000042,NMDC HR COIL 5MMX1500,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,73.580000,0.000000,0.000000,,,,
CH000000000015,SAIL CHEQUERED COIL 6MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,64.580000,0.000000,0.000000,,,,
HR000000000536,SAIL HR COIL 10MMX2000/E350BR,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,64.460000,0.000000,0.000000,,,,
HR000000000265,SAIL HR COIL 8MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,64.290000,0.000000,1.000000,,,,
CH000000000013,SAIL CHEQUERED COIL 5MMX1250,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,64.280000,0.000000,0.000000,,,,
HR000000000565,SAIL HR COIL 20MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,64.150000,0.000000,0.000000,,,,
HR000000000264,SAIL HR COIL 6MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,64.000000,0.000000,64.280000,,,,
HR000000000560,SAIL HR COIL 16MMX2000/E350BR,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,63.930000,0.000000,0.000000,,,,
HR000000000628,SAIL HR COIL 14MMX2000,SAIL HR COIL,1. SAIL HR,38,Chennai Warehouse - COIL,63.550000,0.000000,0.000000,,,,
NMDC000000000020,NMDC HR COIL 16MMX1500,SAIL H.R.PLATE,1. SAIL HR,38,Chennai Warehouse - COIL,63.140000,0.000000,0.010000,,,,
